n	y[n]	INTEG(y[n])
0	9960	38
1	9922	77
2	9883	116
3	9844	154
4	9806	193
5	9767	231
6	9729	269
7	9691	307
8	9653	344
9	9616	382
10	9578	419
11	9541	456
12	9503	494
13	9466	531
14	9429	567
15	9393	604
16	9356	641
17	9319	677
18	9283	713
19	9247	749
20	9210	785
21	9175	821
22	9139	857
23	9103	893
24	9067	928
25	9032	963
26	8997	998
27	8962	1033
28	8927	1068
29	8892	1103
30	8857	1138
31	8822	1172
32	8788	1206
33	8754	1241
34	8719	1275
35	8685	1309
36	8651	1342
37	8618	1376
38	8584	1410
39	8550	1443
40	8517	1476
41	8484	1509
42	8451	1542
43	8418	1575
44	8385	1608
45	8352	1641
46	8319	1673
47	8287	1705
48	8254	1738
49	8222	1770
50	8190	1802
51	8158	1834
52	8126	1865
53	8094	1897
54	8063	1929
55	8031	1960
56	8000	1991
57	7969	2022
58	7938	2053
59	7907	2084
60	7876	2115
61	7845	2146
62	7814	2176
63	7784	2207
64	7753	2237
65	7723	2267
66	7693	2297
67	7663	2327
68	7633	2357
69	7603	2386
70	7573	2416
71	7544	2446
72	7514	2475
73	7485	2504
74	7456	2533
75	7427	2562
76	7398	2591
77	7369	2620
78	7340	2649
79	7311	2677
80	7283	2706
81	7254	2734
82	7226	2762
83	7198	2790
84	7170	2818
85	7142	2846
86	7114	2874
87	7086	2902
88	7058	2929
89	7031	2957
90	7003	2984
91	6976	3011
92	6949	3038
93	6921	3066
94	6894	3092
95	6868	3119
96	6841	3146
97	6814	3173
98	6787	3199
99	6761	3226
100	6734	3252
101	6708	3278
102	6682	3304
103	6656	3330
104	6630	3356
105	6604	3382
106	6578	3408
107	6552	3433
108	6527	3459
109	6501	3484
110	6476	3509
111	6451	3535
112	6425	3560
113	6400	3585
114	6375	3610
115	6350	3634
116	6326	3659
117	6301	3684
118	6276	3708
119	6252	3733
120	6227	3757
121	6203	3781
122	6179	3805
123	6155	3829
124	6131	3853
125	6107	3877
126	6083	3901
127	6059	3925
128	6035	3948
129	6012	3972
130	5988	3995
131	5965	4018
132	5942	4042
133	5918	4065
134	5895	4088
135	5872	4111
136	5849	4133
137	5827	4156
138	5804	4179
139	5781	4201
140	5758	4224
141	5736	4246
142	5714	4269
143	5691	4291
144	5669	4313
145	5647	4335
146	5625	4357
147	5603	4379
148	5581	4401
149	5559	4422
150	5537	4444
151	5516	4466
152	5494	4487
153	5473	4508
154	5451	4530
155	5430	4551
156	5409	4572
157	5388	4593
158	5367	4614
159	5346	4635
160	5325	4656
161	5304	4677
162	5283	4697
163	5263	4718
164	5242	4738
165	5222	4759
166	5201	4779
167	5181	4799
168	5161	4819
169	5141	4839
170	5121	4859
171	5101	4879
172	5081	4899
173	5061	4919
174	5041	4939
175	5021	4958
176	5002	4978
177	4982	4997
178	4963	5017
179	4943	5036
180	4924	5055
181	4905	5074
182	4886	5093
183	4867	5112
184	4847	5131
185	4829	5150
186	4810	5169
187	4791	5188
188	4772	5206
189	4754	5225
190	4735	5243
191	4716	5262
192	4698	5280
193	4680	5299
194	4661	5317
195	4643	5335
196	4625	5353
197	4607	5371
198	4589	5389
199	4571	5407
200	4553	5424
201	4535	5442
202	4518	5460
203	4500	5477
204	4483	5495
205	4465	5512
206	4448	5530
207	4430	5547
208	4413	5564
209	4396	5581
210	4378	5599
211	4361	5616
212	4344	5633
213	4327	5649
214	4310	5666
215	4294	5683
216	4277	5700
217	4260	5716
218	4244	5733
219	4227	5750
220	4210	5766
221	4194	5782
222	4178	5799
223	4161	5815
224	4145	5831
225	4129	5847
226	4113	5863
227	4097	5879
228	4081	5895
229	4065	5911
230	4049	5927
231	4033	5943
232	4017	5958
233	4002	5974
234	3986	5990
235	3970	6005
236	3955	6021
237	3939	6036
238	3924	6051
239	3909	6067
240	3893	6082
241	3878	6097
242	3863	6112
243	3848	6127
244	3833	6142
245	3818	6157
246	3803	6172
247	3788	6187
248	3773	6201
249	3759	6216
250	3744	6231
251	3729	6245
252	3715	6260
253	3700	6274
254	3686	6289
255	3671	6303
256	3657	6317
257	3643	6331
258	3629	6346
259	3614	6360
260	3600	6374
261	3586	6388
262	3572	6402
263	3558	6416
264	3544	6429
265	3530	6443
266	3517	6457
267	3503	6471
268	3489	6484
269	3476	6498
270	3462	6511
271	3449	6525
272	3435	6538
273	3422	6552
274	3408	6565
275	3395	6578
276	3382	6591
277	3369	6605
278	3355	6618
279	3342	6631
280	3329	6644
281	3316	6657
282	3303	6670
283	3290	6682
284	3277	6695
285	3265	6708
286	3252	6721
287	3239	6733
288	3227	6746
289	3214	6759
290	3201	6771
291	3189	6783
292	3176	6796
293	3164	6808
294	3152	6821
295	3139	6833
296	3127	6845
297	3115	6857
298	3103	6869
299	3091	6881
300	3079	6893
301	3067	6905
302	3055	6917
303	3043	6929
304	3031	6941
305	3019	6953
306	3007	6965
307	2995	6976
308	2984	6988
309	2972	7000
310	2960	7011
311	2949	7023
312	2937	7034
313	2926	7046
314	2914	7057
315	2903	7068
316	2892	7080
317	2880	7091
318	2869	7102
319	2858	7113
320	2847	7124
321	2836	7135
322	2825	7146
323	2813	7157
324	2803	7168
325	2792	7179
326	2781	7190
327	2770	7201
328	2759	7212
329	2748	7222
330	2737	7233
331	2727	7244
332	2716	7254
333	2706	7265
334	2695	7276
335	2684	7286
336	2674	7296
337	2663	7307
338	2653	7317
339	2643	7328
340	2632	7338
341	2622	7348
342	2612	7358
343	2602	7368
344	2591	7379
345	2581	7389
346	2571	7399
347	2561	7409
348	2551	7419
349	2541	7429
350	2531	7438
351	2521	7448
352	2512	7458
353	2502	7468
354	2492	7478
355	2482	7487
356	2473	7497
357	2463	7507
358	2453	7516
359	2444	7526
360	2434	7535
361	2425	7545
362	2415	7554
363	2406	7564
364	2396	7573
365	2387	7582
366	2378	7592
367	2368	7601
368	2359	7610
369	2350	7619
370	2341	7628
371	2332	7637
372	2323	7647
373	2313	7656
374	2304	7665
375	2295	7674
376	2286	7682
377	2278	7691
378	2269	7700
379	2260	7709
380	2251	7718
381	2242	7727
382	2233	7735
383	2225	7744
384	2216	7753
385	2207	7761
386	2199	7770
387	2190	7778
388	2182	7787
389	2173	7795
390	2165	7804
391	2156	7812
392	2148	7821
393	2139	7829
394	2131	7837
395	2123	7846
396	2114	7854
397	2106	7862
398	2098	7870
399	2090	7879
400	2081	7887
401	2073	7895
402	2065	7903
403	2057	7911
404	2049	7919
405	2041	7927
406	2033	7935
407	2025	7943
408	2017	7951
409	2009	7958
410	2002	7966
411	1994	7974
412	1986	7982
413	1978	7989
414	1970	7997
415	1963	8005
416	1955	8012
417	1947	8020
418	1940	8028
419	1932	8035
420	1925	8043
421	1917	8050
422	1910	8058
423	1902	8065
424	1895	8073
425	1887	8080
426	1880	8087
427	1873	8095
428	1865	8102
429	1858	8109
430	1851	8116
431	1844	8124
432	1836	8131
433	1829	8138
434	1822	8145
435	1815	8152
436	1808	8159
437	1801	8166
438	1794	8173
439	1787	8180
440	1780	8187
441	1773	8194
442	1766	8201
443	1759	8208
444	1752	8215
445	1745	8221
446	1739	8228
447	1732	8235
448	1725	8242
449	1718	8248
450	1711	8255
451	1705	8262
452	1698	8268
453	1692	8275
454	1685	8282
455	1678	8288
456	1672	8295
457	1665	8301
458	1659	8308
459	1652	8314
460	1646	8321
461	1639	8327
462	1633	8333
463	1627	8340
464	1620	8346
465	1614	8352
466	1608	8359
467	1601	8365
468	1595	8371
469	1589	8377
470	1583	8383
471	1576	8390
472	1570	8396
473	1564	8402
474	1558	8408
475	1552	8414
476	1546	8420
477	1540	8426
478	1534	8432
479	1528	8438
480	1522	8444
481	1516	8450
482	1510	8456
483	1504	8462
484	1498	8468
485	1492	8473
486	1487	8479
487	1481	8485
488	1475	8491
489	1469	8496
490	1463	8502
491	1458	8508
492	1452	8514
493	1446	8519
494	1441	8525
495	1435	8530
496	1430	8536
497	1424	8542
498	1418	8547
499	1413	8553
500	1407	8558
501	1402	8564
502	1396	8569
503	1391	8575
504	1385	8580
505	1380	8585
506	1375	8591
507	1369	8596
508	1364	8601
509	1359	8607
510	1353	8612
511	1348	8617
512	1343	8622
513	1337	8628
514	1332	8633
515	1327	8638
516	1322	8643
517	1317	8648
518	1312	8653
519	1306	8659
520	1301	8664
521	1296	8669
522	1291	8674
523	1286	8679
524	1281	8684
525	1276	8689
526	1271	8694
527	1266	8699
528	1261	8704
529	1256	8709
530	1251	8713
531	1247	8718
532	1242	8723
533	1237	8728
534	1232	8733
535	1227	8738
536	1222	8742
537	1218	8747
538	1213	8752
539	1208	8757
540	1203	8761
541	1199	8766
542	1194	8771
543	1189	8775
544	1185	8780
545	1180	8785
546	1175	8789
547	1171	8794
548	1166	8798
549	1162	8803
550	1157	8807
551	1153	8812
552	1148	8816
553	1144	8821
554	1139	8825
555	1135	8830
556	1130	8834
557	1126	8838
558	1122	8843
559	1117	8847
560	1113	8852
561	1108	8856
562	1104	8860
563	1100	8864
564	1095	8869
565	1091	8873
566	1087	8877
